epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.009222661145031452,0.0010000000474974513,15.190084457397461,0.01315789483487606,6.605434894561768
1,0.023715414106845856,0.0010000000474974513,6.114373683929443,0.019736841320991516,4.806856632232666
2,0.03162055462598801,0.0010000000474974513,4.638818264007568,0.02631578966975212,4.479349136352539
3,0.05533596873283386,0.0010000000474974513,4.346319675445557,0.08552631735801697,4.384952068328857
4,0.06060606241226196,0.0010000000474974513,4.161080837249756,0.09210526198148727,4.293445110321045
5,0.10013175010681152,0.0010000000474974513,3.9773974418640137,0.09210526198148727,4.235780715942383
6,0.11594203114509583,0.0010000000474974513,3.901266574859619,0.1184210553765297,4.159672737121582
7,0.12252964079380035,0.0010000000474974513,3.76493763923645,0.1381578892469406,4.076521396636963
8,0.1607378125190735,0.0010000000474974513,3.596904754638672,0.1381578892469406,3.9329400062561035
9,0.17523056268692017,0.0010000000474974513,3.4980146884918213,0.1315789520740509,3.9247488975524902
10,0.15546771883964539,0.0010000000474974513,3.4272279739379883,0.15789473056793213,3.8787055015563965
11,0.20026350021362305,0.0010000000474974513,3.308889389038086,0.1381578892469406,3.843801498413086
12,0.19367589056491852,0.0010000000474974513,3.208933115005493,0.1315789520740509,3.840538740158081
13,0.2134387344121933,0.0010000000474974513,3.122331142425537,0.15789473056793213,3.8206706047058105
14,0.24901185929775238,0.0010000000474974513,2.955303907394409,0.16447368264198303,3.8117189407348633
15,0.21607378125190735,0.0010000000474974513,2.952239751815796,0.17105263471603394,3.791142225265503
16,0.25164690613746643,0.0010000000474974513,2.9225997924804688,0.1381578892469406,3.741436243057251
17,0.2714097499847412,0.0010000000474974513,2.7814526557922363,0.1315789520740509,3.7832508087158203
18,0.2859025001525879,0.0010000000474974513,2.7049520015716553,0.15789473056793213,3.900078535079956
19,0.27799737453460693,0.0010000000474974513,2.646657705307007,0.14473684132099152,3.783452033996582
20,0.3017127811908722,0.0010000000474974513,2.559922218322754,0.17105263471603394,3.917816162109375
21,0.3175230622291565,0.0010000000474974513,2.5380189418792725,0.15131579339504242,3.8609561920166016
22,0.3372859060764313,0.0005000000237487257,2.3915064334869385,0.19078947603702545,3.7922346591949463
23,0.3491436243057251,0.0005000000237487257,2.365919828414917,0.17763157188892365,3.795208215713501
24,0.374176561832428,0.0005000000237487257,2.258155107498169,0.15131579339504242,3.8626186847686768
25,0.3702239692211151,0.0005000000237487257,2.267730712890625,0.18421052396297455,3.838850259780884
26,0.40447959303855896,0.0005000000237487257,2.212578058242798,0.18421052396297455,3.800366163253784
27,0.40843215584754944,0.0002500000118743628,2.1604244709014893,0.19736842811107635,3.7909791469573975
28,0.4334650933742523,0.0002500000118743628,2.11023211479187,0.19736842811107635,3.8371448516845703
29,0.417654812335968,0.0002500000118743628,2.098888397216797,0.19078947603702545,3.8244709968566895
30,0.4202898442745209,0.0002500000118743628,2.082634925842285,0.20394736528396606,3.8858814239501953
31,0.4374176561832428,0.0002500000118743628,2.02738618850708,0.19736842811107635,3.8527510166168213
32,0.4308300316333771,0.0001250000059371814,2.057790517807007,0.21710526943206787,3.84184193611145
33,0.41370224952697754,0.0001250000059371814,2.055788993835449,0.21052631735801697,3.8641562461853027
34,0.42951253056526184,0.0001250000059371814,2.0553956031799316,0.21710526943206787,3.832688570022583
35,0.4440052807331085,0.0001250000059371814,2.0413198471069336,0.21710526943206787,3.8406765460968018
36,0.43478259444236755,0.0001250000059371814,2.0288612842559814,0.21710526943206787,3.872392416000366
37,0.4413702189922333,6.25000029685907e-05,1.9867031574249268,0.21710526943206787,3.86979079246521
38,0.4532279372215271,6.25000029685907e-05,1.9432841539382935,0.21710526943206787,3.8840460777282715
39,0.425559937953949,6.25000029685907e-05,2.0140881538391113,0.22368420660495758,3.8696794509887695
40,0.417654812335968,6.25000029685907e-05,2.0530903339385986,0.21710526943206787,3.8651087284088135
41,0.42424243688583374,6.25000029685907e-05,1.9544554948806763,0.22368420660495758,3.87602162361145
42,0.44532278180122375,3.125000148429535e-05,1.969024419784546,0.22368420660495758,3.8711423873901367
43,0.4492753744125366,3.125000148429535e-05,1.9730826616287231,0.22368420660495758,3.8725035190582275
44,0.4492753744125366,3.125000148429535e-05,1.9798027276992798,0.21710526943206787,3.870283842086792
45,0.4268774688243866,3.125000148429535e-05,1.9933127164840698,0.21710526943206787,3.8705034255981445
46,0.45981553196907043,3.125000148429535e-05,1.963315725326538,0.21052631735801697,3.8733842372894287
47,0.47167325019836426,1.5625000742147677e-05,1.8915125131607056,0.21710526943206787,3.8754470348358154
48,0.4677206873893738,1.5625000742147677e-05,1.9442706108093262,0.21052631735801697,3.8779988288879395
49,0.4466403126716614,1.5625000742147677e-05,1.9792041778564453,0.21052631735801697,3.8785219192504883
50,0.44005268812179565,1.5625000742147677e-05,1.9920580387115479,0.21052631735801697,3.876729965209961
51,0.4532279372215271,1.5625000742147677e-05,1.9339054822921753,0.21710526943206787,3.8789122104644775
